22,86,75
39,144,81
59,146,145
34,259,150
17,85,233
41,325,176
77,270,196
16,261,233
10,167,284
45,167,366
35,111,405
64,275,391
9,162,464
20,250,469
48,193,529
15,322,496
3,367,383
43,311,313
26,398,288
11,331,244
54,370,185
81,419,172
14,456,197
67,464,130
78,522,148
6,541,268
18,596,200
37,610,125
74,508,103
57,690,96
55,790,139
19,692,211
5,758,194
66,692,284
71,597,277
40,640,339
42,510,465
68,619,421
70,564,536
51,680,457
33,672,568
1,732,549
7,375,559
32,388,466
31,796,624
38,744,396
80,802,535
46,854,493
58,857,276
44,955,416
60,816,230
27,891,538
52,900,172
24,1017,278
28,964,192
62,1041,331
29,1035,208
23,1023,383
63,1001,527
21,1098,447
47,1151,502
72,1186,455
12,1129,350
49,1200,353
25,1168,248
61,1046,159
69,1090,222
53,1129,148
8,1201,123
75,1272,125
36,1297,178
4,1305,258
76,1378,227
13,1242,387
65,1342,373
56,1234,435
73,1281,470
30,1377,454
2,955,468
50,682,400
79,870,574
